id,additions_api,deletions_api,changed_files_api,n_comments,dir_count_api
2588963649,9,4,1,5,1
2481342788,91,83,60,5,30
2361464803,20,22,8,2,3
2473301328,3,0,1,5,1
2610399896,113,6,4,4,2
2585851873,628,716,45,17,28
2311909414,1,1,1,1,1
2442699799,80,134,8,4,8
2580753509,47,0,2,4,2
2577891883,79,121,16,7,10
2430464925,354,0,6,7,6
2625756885,53,18,2,3,2
2325153858,0,0,1,2,1
2416870587,77,11,2,3,2
2554220300,112,70,2,7,2
2550069849,167,7,2,2,1
2470509379,97,22,6,5,5
2436703802,137,137,4,3,3
2517820676,22,22,2,2,1
2597870960,33,0,2,5,2
2512635099,3,4,1,7,1
2291670928,22,25,8,0,3
2447561623,14,8,2,2,1
2481453220,98,45,3,4,2
2548674313,11,10,2,2,2
2562500024,12,49,3,6,2
2433674364,62,21,17,8,10
2301609877,71,6,9,1,5
2447985807,5,5,2,2,2
2609042803,12,12,3,2,3
2346101338,31,15,4,7,3
2533765515,756,0,11,10,8
2540315683,210,114,2,3,2
2291034255,4,14,1,2,1
2399811992,7,5,1,6,1
2413276089,2,2,1,6,1
2258774227,31,7,4,1,3
2490288026,1,0,1,5,1
2541877375,96,83,2,1,2
2408751062,221,8,8,6,5
2484938184,29,20,2,7,1
2478866054,24,41,2,5,2
2583074578,353,2,10,6,3
2291568278,145,26,8,7,7
2441993725,1,1,1,2,1
2491043793,20,55,3,9,3
2283317832,3,5,1,1,1
2436917339,39,39,3,3,2
2316755177,39,4,4,5,3
2442711575,22,22,7,6,7
2383917288,12,8,3,6,2
2609451219,79,8,3,11,1
2425115860,22,13,9,6,9
2460326797,443,686,26,7,14
2478383084,277,17,6,7,2
2321562051,18,0,2,8,2
2392809855,238,9,5,15,3
2447356562,31,43,3,2,3
2281064117,62,19,4,1,3
2579894596,7,4,3,5,1
2465030288,346,755,19,6,12
2422031702,226,0,6,8,1
2384840543,26,0,2,5,1
2314258628,232,22,10,26,5
2301566111,125,26,11,2,5
2409173370,2229,0,3,6,2
2299189849,199,2,10,9,6
2480426822,139,139,11,3,9
2269739631,165,40,13,2,8
2475254791,274,444,11,17,9
2535711553,377,18,5,7,5
2597599176,2,1,1,4,1
2588125839,1412,6,7,3,3
2578599113,56,17,1,0,1
2586152525,35,1,3,14,2
2576631632,2,2,2,1,1
2605255758,1223,0,11,14,2
2483168842,1,1,1,1,1
2599830161,32,26,6,2,2
2603541470,1030,1,13,10,2
2466329616,1,1,1,0,1
2559292377,422,281,28,3,8
2621937933,134601,2,79,0,19
2452430381,1,0,1,0,1
